cons/default.size              0
cons/default                   []
cons/n                         [0,0,0,0]
cons/val-n                     [2.5,2.5,2.5]
cons/ptr-n                     [1,2,3]
cons/init-list                 [1,2,3]
cons/copy                      [1.5,-2.25,3.125,-4.0625,5.03125,-6.015625]
cons/move                      [1.5,-2.25,3.125,-4.0625,5.03125,-6.015625]
cons/move.src-size             0
cons/zero.size                 0
cons/zero                      []
assign/valarray                [1.5,-2.25,3.125,-4.0625,5.03125,-6.015625]
assign/scalar                  [7.25,7.25,7.25,7.25,7.25,7.25]
assign/init-list               [8,9]
assign/self                    [1.5,-2.25,3.125,-4.0625,5.03125,-6.015625]
assign/self-slice              [1.5,-2.25,3.125,-4.0625,5.03125,-6.015625]
assign/self-add                [3,-4.5,6.25,-8.125,10.0625,-12.03125]
assign/grow                    [1.5,-2.25,3.125,-4.0625,5.03125,-6.015625]
assign/shrink                  [1,2]
access/const-index             5.03125
access/index-write             [1.5,-2.25,3.125,-4.0625,99.5,-6.015625]
sub/slice-const                [-2.25,-4.0625,-6.015625]
sub/slice-nonconst             [1.5,3.125,5.03125]
sub/slice-assign-scalar        [0,-2.25,0,-4.0625,0,-6.015625]
sub/slice-assign-va            [10,-2.25,20,-4.0625,30,-6.015625]
sub/slice-compound             [1.5,-4.5,3.125,-8.125,5.03125,-12.03125]
sub/slice-empty                []
sub/slice-stride0              [3.125,3.125,3.125]
sub/gslice-2d                  [1.5,-2.25,3.125,-4.0625,5.03125,-6.015625]
sub/gslice-1d                  [1.5,3.125,5.03125]
sub/gslice-empty               []
sub/gslice-assign              [0.5,0.5,3.125,0.5,0.5,-6.015625]
sub/mask                       [1.5,3.125,5.03125]
sub/mask-assign                [1.5,-1,3.125,-1,5.03125,-1]
sub/mask-none                  []
sub/indirect                   [-6.015625,1.5,-4.0625]
sub/indirect-assign            [200,-2.25,3.125,300,5.03125,100]
sub/indirect-empty             []
unary/plus                     [1.5,-2.25,3.125,-4.0625,5.03125,-6.015625]
unary/minus                    [-1.5,2.25,-3.125,4.0625,-5.03125,6.015625]
unary/bitnot                   [-8,2,-13,-6,8,-41]
unary/not                      [0,0,0,0,0,0]
bin/add/vv                     [3,-4.5,6.25,-8.125,10.0625,-12.03125]
bin/add/vs                     [4,0.25,5.625,-1.5625,7.53125,-3.515625]
bin/add/sv                     [4,0.25,5.625,-1.5625,7.53125,-3.515625]
bin/sub/vv                     [0,0,0,0,0,0]
bin/sub/vs                     [-1,-4.75,0.625,-6.5625,2.53125,-8.515625]
bin/sub/sv                     [1,4.75,-0.625,6.5625,-2.53125,8.515625]
bin/mul/vv                     [2.25,5.0625,9.765625,16.50390625,25.3134765625,36.187744140625]
bin/mul/vs                     [3.75,-5.625,7.8125,-10.15625,12.578125,-15.0390625]
bin/mul/sv                     [3.75,-5.625,7.8125,-10.15625,12.578125,-15.0390625]
bin/div/vv                     [1,1,1,1,1,1]
bin/div/vs                     [0.59999999999999998,-0.90000000000000002,1.25,-1.625,2.0125000000000002,-2.40625]
bin/div/sv                     [1.6666666666666667,-1.1111111111111112,0.80000000000000004,-0.61538461538461542,0.49689440993788819,-0.41558441558441561]
bin/mod/vv                     [0,0,0,0,0,0]
bin/mod/vs                     [1,0,0,2,0,1]
bin/mod/sv                     [3,0,3,3,3,3]
bin/and/vv                     [7,-3,12,5,-9,40]
bin/and/vs                     [3,1,0,1,3,0]
bin/and/sv                     [3,1,0,1,3,0]
bin/or/vv                      [7,-3,12,5,-9,40]
bin/or/vs                      [7,-1,15,7,-9,43]
bin/or/sv                      [7,-1,15,7,-9,43]
bin/xor/vv                     [0,0,0,0,0,0]
bin/xor/vs                     [4,-2,15,6,-12,43]
bin/xor/sv                     [4,-2,15,6,-12,43]
bin/shl/vv                     [28,-12,48,20,-36,160]
bin/shl/vs                     [28,-12,48,20,-36,160]
bin/shr/sv                     [128,64,32,16,8,4]
bin/fused-4                    [8.25,4.5,27.34375,22.8515625,63.205078125,57.33642578125]
cmp/eq/vv                      [1,1,1,1,1,1]
cmp/eq/vs                      [0,0,0,0,0,0]
cmp/eq/sv                      [0,0,0,0,0,0]
cmp/ne/vv                      [0,0,0,0,0,0]
cmp/ne/vs                      [1,1,1,1,1,1]
cmp/ne/sv                      [1,1,1,1,1,1]
cmp/lt/vv                      [0,0,0,0,0,0]
cmp/lt/vs                      [0,1,0,1,0,1]
cmp/lt/sv                      [1,0,1,0,1,0]
cmp/gt/vv                      [0,0,0,0,0,0]
cmp/gt/vs                      [1,0,1,0,1,0]
cmp/gt/sv                      [0,1,0,1,0,1]
cmp/le/vv                      [1,1,1,1,1,1]
cmp/le/vs                      [0,1,0,1,0,1]
cmp/le/sv                      [1,0,1,0,1,0]
cmp/ge/vv                      [1,1,1,1,1,1]
cmp/ge/vs                      [1,0,1,0,1,0]
cmp/ge/sv                      [0,1,0,1,0,1]
cmp/logand                     [1,0,0]
cmp/logor                      [1,1,1]
cas/add/v                      [3,-4.5,6.25,-8.125,10.0625,-12.03125]
cas/add/s                      [4,0.25,5.625,-1.5625,7.53125,-3.515625]
cas/sub/v                      [0,0,0,0,0,0]
cas/sub/s                      [-1,-4.75,0.625,-6.5625,2.53125,-8.515625]
cas/mul/v                      [2.25,5.0625,9.765625,16.50390625,25.3134765625,36.187744140625]
cas/mul/s                      [3.75,-5.625,7.8125,-10.15625,12.578125,-15.0390625]
cas/div/v                      [1,1,1,1,1,1]
cas/div/s                      [0.59999999999999998,-0.90000000000000002,1.25,-1.625,2.0125000000000002,-2.40625]
cas/mod/v                      [0,0,0,0,0,0]
cas/mod/s                      [1,0,0,2,0,1]
cas/and/v                      [7,-3,12,5,-9,40]
cas/and/s                      [3,1,0,1,3,0]
cas/or/v                       [7,-3,12,5,-9,40]
cas/or/s                       [7,-1,15,7,-9,43]
cas/xor/v                      [0,0,0,0,0,0]
cas/xor/s                      [4,-2,15,6,-12,43]
cas/shl/v                      [7,-6,48,40,-144,1280]
cas/shl/s                      [28,-12,48,20,-36,160]
cas/shr/v                      [7,-2,3,0,-1,1]
cas/shr/s                      [3,-2,6,2,-5,20]
mem/size                       6
mem/sum                        -2.671875
mem/sum-one                    4
mem/min                        -6.015625
mem/max                        5.03125
mem/shift+2                    [3.125,-4.0625,5.03125,-6.015625,0,0]
mem/shift-2                    [0,0,1.5,-2.25,3.125,-4.0625]
mem/shift0                     [1.5,-2.25,3.125,-4.0625,5.03125,-6.015625]
mem/shift-past                 [0,0,0,0,0,0]
mem/shift-past-neg             [0,0,0,0,0,0]
mem/cshift+2                   [3.125,-4.0625,5.03125,-6.015625,1.5,-2.25]
mem/cshift-2                   [5.03125,-6.015625,1.5,-2.25,3.125,-4.0625]
mem/cshift-wrap                [3.125,-4.0625,5.03125,-6.015625,1.5,-2.25]
mem/cshift-wrap-neg            [5.03125,-6.015625,1.5,-2.25,3.125,-4.0625]
mem/cshift-full                [1.5,-2.25,3.125,-4.0625,5.03125,-6.015625]
mem/cshift-empty               []
mem/apply                      [2.25,5.0625,9.765625,16.50390625,25.3134765625,36.187744140625]
mem/resize-shrink              [0,0,0]
mem/resize-grow                [1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25]
mem/resize-same                [0,0,0,0,0,0]
mem/swap-a                     [1,1]
mem/swap-b                     [1.5,-2.25,3.125,-4.0625,5.03125,-6.015625]
tr/abs                         [1.5,2.25,3.125,4.0625,5.03125,6.015625]
tr/acos                        [1.318116071652818,1.0471975511965976,0.72273424781341566]
tr/asin                        [0.25268025514207865,0.52359877559829882,0.848062078981481]
tr/atan                        [0.24497866312686414,0.46364760900080615,0.64350110879328437]
tr/cos                         [0.96891242171064473,0.87758256189037276,0.7316888688738209]
tr/cosh                        [1.0314130998795732,1.1276259652063807,1.2946832846768448]
tr/exp                         [1.2840254166877414,1.6487212707001282,2.1170000166126748]
tr/log                         [-1.3862943611198906,-0.69314718055994529,-0.2876820724517809]
tr/log10                       [-0.6020599913279624,-0.3010299956639812,-0.12493873660829995]
tr/sin                         [0.24740395925452294,0.47942553860420301,0.68163876002333412]
tr/sinh                        [0.25261231680816831,0.52109530549374738,0.82231673193582999]
tr/sqrt                        [0.5,0.70710678118654757,0.8660254037844386]
tr/tan                         [0.25534192122103627,0.54630248984379048,0.93159645994407236]
tr/tanh                        [0.24491866240370913,0.46211715726000974,0.6351489523872873]
tr/atan2/vv                    [0.16514867741462683,0.19739555984988075,0.21109333322274654]
tr/atan2/vs                    [0.12435499454676144,0.24497866312686414,0.35877067027057225]
tr/atan2/sv                    [1.4464413322481351,1.3258176636680326,1.2120256565243244]
tr/pow/vv                      [1.1066819197003215,1.5811388300841898,2.5588865599815867]
tr/pow/vs                      [2.25,6.25,12.25]
tr/pow/sv                      [2.8284271247461903,5.6568542494923806,11.313708498984761]
tr/of-expr                     [1.5,2.25,3.125,4.0625,5.03125,6.015625]
range/for-sum                  -2.671875
range/distance                 6
range/const-first              1.5
chain/mask-compound            [101.5,97.75,3.125,-4.0625,105.03125,93.984375]
chain/indirect-compound        [4.5,-2.25,9.375,-4.0625,15.09375,-6.015625]
chain/gslice-compound          [1.5,-1.25,5.125,-4.0625,8.03125,-2.015625]
chain/slice-from-self          [-4.0625,5.03125,-6.015625,-4.0625,5.03125,-6.015625]
