# [version.syn] header ownership, one line per macro: <macro>|<header>[,<header>...]
# The headers named after "also in" in each #define line, <version> excluded --
# every macro is in <version> by definition. Transcribed from eel.is/c++draft/
# version.syn; the C++23 baseline (N4950) agrees on every entry boxcxx defines.
# tools/cxx_ftm_audit.sh checks the tree against this file.
#
# The header list is the one belonging to the VALUE boxcxx defines, not the
# newest one in the draft. __cpp_lib_apply gained <type_traits> and <meta> with
# its C++26 value 202603L; boxcxx defines the C++23 201603L, whose only owner
# is <tuple>, so that is what this file records.
__cpp_lib_adaptor_iterator_pair_constructor|stack,queue
__cpp_lib_addressof_constexpr|memory
__cpp_lib_aligned_accessor|mdspan
__cpp_lib_algorithm_default_value_type|algorithm,ranges,string,deque,list,forward_list,vector,memory
__cpp_lib_algorithm_iterator_requirements|algorithm,numeric,memory
__cpp_lib_allocate_at_least|memory
__cpp_lib_allocator_traits_is_always_equal|memory,scoped_allocator,string,deque,forward_list,list,vector,map,set,unordered_map,unordered_set
__cpp_lib_any|any
__cpp_lib_apply|tuple
__cpp_lib_array_constexpr|iterator,array
__cpp_lib_as_const|utility
__cpp_lib_associative_heterogeneous_erasure|map,set,unordered_map,unordered_set
__cpp_lib_associative_heterogeneous_insertion|map,set,unordered_map,unordered_set
__cpp_lib_assume_aligned|memory
__cpp_lib_atomic_flag_test|atomic
__cpp_lib_atomic_float|atomic
__cpp_lib_atomic_is_always_lock_free|atomic
__cpp_lib_atomic_lock_free_type_aliases|atomic
__cpp_lib_atomic_min_max|atomic
__cpp_lib_atomic_ref|atomic
__cpp_lib_atomic_shared_ptr|memory
__cpp_lib_atomic_value_initialization|atomic,memory
__cpp_lib_atomic_wait|atomic
__cpp_lib_barrier|barrier
__cpp_lib_bind_back|functional
__cpp_lib_bind_front|functional
__cpp_lib_bit_cast|bit
__cpp_lib_bitops|bit
__cpp_lib_bitset|bitset
__cpp_lib_bool_constant|type_traits
__cpp_lib_bounded_array_traits|type_traits
__cpp_lib_boyer_moore_searcher|functional
__cpp_lib_byteswap|bit
__cpp_lib_byte|cstddef
__cpp_lib_char8_t|atomic,filesystem,iosfwd,istream,limits,locale,ostream,string,string_view
__cpp_lib_chrono_udls|chrono
__cpp_lib_clamp|algorithm
__cpp_lib_common_reference_wrapper|functional
__cpp_lib_common_reference|type_traits
__cpp_lib_complex_udls|complex
__cpp_lib_concepts|concepts,compare
